provider,horizon,fold,rmse_lstm,mae_lstm,rmse_naive,mae_naive,acc_lstm,f1_lstm,acc_naive,f1_naive
openai,1d,1,0.03599399114142229,0.026876649037090198,0.030248710614972075,0.02204591599737176,0.5,0.5454545454545454,0.48333333333333334,0.0
openai,1d,2,0.037178036188930924,0.026369454368766542,0.027442079901143508,0.01907056521362552,0.5666666666666667,0.4090909090909091,0.45,0.0
openai,1d,3,0.031377819225763846,0.02567287945781762,0.023731974328507113,0.018010539938849632,0.55,0.49056603773584906,0.4666666666666667,0.0
openai,1d,4,0.03294436218311883,0.024330611370046693,0.0291492238087015,0.02096095236011868,0.45,0.4406779661016949,0.5833333333333334,0.0
openai,1d,5,0.033199955923628566,0.025385339375574655,0.024190348486159426,0.01619110889006144,0.5,0.4230769230769231,0.45,0.0
openai,1d,6,0.026168532554406834,0.021172327013174366,0.01655562621345276,0.012328461132757632,0.43333333333333335,0.2916666666666667,0.43333333333333335,0.0
openai,1d,7,0.016021059173978343,0.012358865883950984,0.014985876609964132,0.011370874831544763,0.6166666666666667,0.5306122448979592,0.55,0.0
openai,1d,8,0.024445749723060496,0.01925960398552432,0.021961504390777053,0.01748800740596934,0.45,0.5074626865671642,0.5,0.0
openai,1d,9,0.02642447400793228,0.019507831230783524,0.019436333845648354,0.01428129986038086,0.5666666666666667,0.6060606060606061,0.5,0.0
openai,3d,1,0.07016762093182301,0.05901673500205171,0.05318964345265602,0.04251631474020627,0.43333333333333335,0.575,0.5,0.0
openai,3d,2,0.06589204586731615,0.04647483009627939,0.055084343558826514,0.04119571725839275,0.5333333333333333,0.65,0.31666666666666665,0.0
openai,3d,3,0.06312181216300414,0.054458655917688524,0.038418880235224204,0.03170796064073982,0.48333333333333334,0.24390243902439024,0.45,0.0
openai,3d,4,0.06132718488921967,0.04849012500244001,0.04003698751348285,0.028450583552458376,0.4166666666666667,0.47761194029850745,0.5666666666666667,0.0
openai,3d,5,0.05301578263679668,0.043406801887648144,0.04039553105408562,0.029387208156245157,0.38333333333333336,0.3018867924528302,0.31666666666666665,0.0
openai,3d,6,0.04003322745468761,0.031939387214497954,0.02763369320007658,0.02065379809414969,0.5,0.375,0.4666666666666667,0.0
openai,3d,7,0.025960694904813283,0.02200311386088952,0.02299674340728317,0.01912472080785367,0.5,0.16666666666666666,0.45,0.0
openai,3d,8,0.05437616149245307,0.04353947971255064,0.04036444511718945,0.03405465938617488,0.4666666666666667,0.42857142857142855,0.5833333333333334,0.0
openai,3d,9,0.03782792740564732,0.031659776561813985,0.03297297296882167,0.026079022510296448,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.0
openai,7d,1,0.08852226869609024,0.07149474289905286,0.07265768240196784,0.05929359063016463,0.45,0.56,0.48333333333333334,0.0
openai,7d,2,0.10337464586520045,0.07438330756150836,0.09324083731893384,0.06752109517239109,0.4,0.5384615384615384,0.2833333333333333,0.0
openai,7d,3,0.08007390051043421,0.06748545167405903,0.049957301202261536,0.040283958089603014,0.3,0.125,0.4166666666666667,0.0
openai,7d,4,0.049875464556270184,0.04382431187432837,0.054082881268763025,0.03966137020837991,0.5833333333333334,0.5283018867924528,0.6166666666666667,0.0
openai,7d,5,0.08008709496765512,0.060805957096364445,0.05802074363680722,0.04573115956637592,0.5,0.5714285714285714,0.25,0.0
openai,7d,6,0.06256670074276038,0.05505454452887251,0.03891648277247503,0.03001503706256682,0.3333333333333333,0.375,0.4,0.0
openai,7d,7,0.045537193958192314,0.03714787677988524,0.033580091675743905,0.02722292160425135,0.4666666666666667,0.0,0.5166666666666667,0.0
openai,7d,8,0.08971371885562696,0.07567217011127923,0.06893257921536863,0.05966587902030831,0.36666666666666664,0.2962962962962963,0.6833333333333333,0.0
openai,7d,9,0.05253493877957928,0.044634984955255017,0.03960844187763132,0.03191876104718154,0.5166666666666667,0.32558139534883723,0.43333333333333335,0.0
claude,1d,1,0.035852378564163796,0.026439458226833187,0.030248710614972075,0.02204591599737176,0.4666666666666667,0.5,0.48333333333333334,0.0
claude,1d,2,0.03036889945102792,0.02106846945518332,0.027442079901143508,0.01907056521362552,0.5333333333333333,0.5483870967741935,0.45,0.0
claude,1d,3,0.036334610577502084,0.029482322567339833,0.023731974328507113,0.018010539938849632,0.5333333333333333,0.36363636363636365,0.4666666666666667,0.0
claude,1d,4,0.03242833973501042,0.023302794885034905,0.0291492238087015,0.02096095236011868,0.5833333333333334,0.4897959183673469,0.5833333333333334,0.0
claude,1d,5,0.030701571402347482,0.023789150845108544,0.024190348486159426,0.01619110889006144,0.5,0.2857142857142857,0.45,0.0
claude,1d,6,0.03375423567629157,0.027475200058981703,0.01655562621345276,0.012328461132757632,0.4,0.18181818181818182,0.43333333333333335,0.0
claude,1d,7,0.015447392406021805,0.012249076873163903,0.014985876609964132,0.011370874831544763,0.6,0.42857142857142855,0.55,0.0
claude,1d,8,0.023397313946999197,0.01784922257393619,0.021961504390777053,0.01748800740596934,0.4666666666666667,0.4482758620689655,0.5,0.0
claude,1d,9,0.02222398803170105,0.016218308729861436,0.019436333845648354,0.01428129986038086,0.5666666666666667,0.5357142857142857,0.5,0.0
claude,3d,1,0.07210257403186796,0.05885596209936097,0.05318964345265602,0.04251631474020627,0.43333333333333335,0.5952380952380952,0.5,0.0
claude,3d,2,0.0733012710906362,0.04808966361437829,0.055084343558826514,0.04119571725839275,0.6,0.6666666666666666,0.31666666666666665,0.0
claude,3d,3,0.056942348984567764,0.04917274689585417,0.038418880235224204,0.03170796064073982,0.38333333333333336,0.0975609756097561,0.45,0.0
claude,3d,4,0.04870646668342856,0.03603174008902569,0.04003698751348285,0.028450583552458376,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.0
claude,3d,5,0.06331780524777371,0.05187876084462005,0.04039553105408562,0.029387208156245157,0.35,0.2641509433962264,0.31666666666666665,0.0
claude,3d,6,0.05308562618526874,0.04331441893632739,0.02763369320007658,0.02065379809414969,0.43333333333333335,0.34615384615384615,0.4666666666666667,0.0
claude,3d,7,0.02134289622465305,0.017664024188186977,0.02299674340728317,0.01912472080785367,0.6166666666666667,0.4888888888888889,0.45,0.0
claude,3d,8,0.051902122368300094,0.042724087098269324,0.04036444511718945,0.03405465938617488,0.38333333333333336,0.39344262295081966,0.5833333333333334,0.0
claude,3d,9,0.03950204079239749,0.03255977031955499,0.03297297296882167,0.026079022510296448,0.5,0.4,0.4666666666666667,0.0
claude,7d,1,0.08997504311883961,0.0715974659532541,0.07265768240196784,0.05929359063016463,0.48333333333333334,0.6352941176470588,0.48333333333333334,0.0
claude,7d,2,0.11720227437306958,0.08139693406172864,0.09324083731893384,0.06752109517239109,0.4166666666666667,0.4262295081967213,0.2833333333333333,0.0
claude,7d,3,0.08603409366519675,0.07615248309506008,0.049957301202261536,0.040283958089603014,0.31666666666666665,0.1276595744680851,0.4166666666666667,0.0
claude,7d,4,0.0531653477050477,0.04554168490852127,0.054082881268763025,0.03966137020837991,0.5833333333333334,0.4897959183673469,0.6166666666666667,0.0
claude,7d,5,0.06563129813462902,0.05273949233852826,0.05802074363680722,0.04573115956637592,0.5833333333333334,0.6575342465753424,0.25,0.0
claude,7d,6,0.05859067997413842,0.04987097103416527,0.03891648277247503,0.03001503706256682,0.4,0.4375,0.4,0.0
claude,7d,7,0.033803891484095544,0.029046234808301045,0.033580091675743905,0.02722292160425135,0.5666666666666667,0.4090909090909091,0.5166666666666667,0.0
claude,7d,8,0.08018309775562266,0.06767076527129896,0.06893257921536863,0.05966587902030831,0.45,0.49230769230769234,0.6833333333333333,0.0
claude,7d,9,0.05314551345265762,0.04262566182692919,0.03960844187763132,0.03191876104718154,0.6333333333333333,0.5925925925925926,0.43333333333333335,0.0
gemini,1d,1,0.03593205610250531,0.027639913412451166,0.030248710614972075,0.02204591599737176,0.48333333333333334,0.5373134328358209,0.48333333333333334,0.0
gemini,1d,2,0.03487653816881816,0.025203203676302837,0.027442079901143508,0.01907056521362552,0.5833333333333334,0.4897959183673469,0.45,0.0
gemini,1d,3,0.034856374248072274,0.029205311251847242,0.023731974328507113,0.018010539938849632,0.48333333333333334,0.4745762711864407,0.4666666666666667,0.0
gemini,1d,4,0.03345588481013928,0.02362328042046243,0.0291492238087015,0.02096095236011868,0.5666666666666667,0.5185185185185185,0.5833333333333334,0.0
gemini,1d,5,0.0334382824384826,0.025935717682546093,0.024190348486159426,0.01619110889006144,0.5,0.34782608695652173,0.45,0.0
gemini,1d,6,0.02946958178145732,0.02315066133465923,0.01655562621345276,0.012328461132757632,0.48333333333333334,0.24390243902439024,0.43333333333333335,0.0
gemini,1d,7,0.01605414981336579,0.01273620694648196,0.014985876609964132,0.011370874831544763,0.5833333333333334,0.4444444444444444,0.55,0.0
gemini,1d,8,0.02358132701500048,0.01733162402131376,0.021961504390777053,0.01748800740596934,0.5333333333333333,0.5757575757575758,0.5,0.0
gemini,1d,9,0.02240480999338451,0.016817519293257567,0.019436333845648354,0.01428129986038086,0.5166666666666667,0.5538461538461539,0.5,0.0
gemini,3d,1,0.0635404791469367,0.0527578273002545,0.05318964345265602,0.04251631474020627,0.4166666666666667,0.5679012345679012,0.5,0.0
gemini,3d,2,0.06217776247516657,0.04541380109877396,0.055084343558826514,0.04119571725839275,0.5,0.5833333333333334,0.31666666666666665,0.0
gemini,3d,3,0.05650906978139744,0.047336982123420586,0.038418880235224204,0.03170796064073982,0.48333333333333334,0.20512820512820512,0.45,0.0
gemini,3d,4,0.046983603616470936,0.03532248054223315,0.04003698751348285,0.028450583552458376,0.5666666666666667,0.6285714285714286,0.5666666666666667,0.0
gemini,3d,5,0.055799817185771663,0.04422817617379833,0.04039553105408562,0.029387208156245157,0.36666666666666664,0.32142857142857145,0.31666666666666665,0.0
gemini,3d,6,0.046900381731868425,0.03765331689541339,0.02763369320007658,0.02065379809414969,0.43333333333333335,0.34615384615384615,0.4666666666666667,0.0
gemini,3d,7,0.02348248868063761,0.019470240020752896,0.02299674340728317,0.01912472080785367,0.6166666666666667,0.46511627906976744,0.45,0.0
gemini,3d,8,0.051828771088079297,0.04272066742943411,0.04036444511718945,0.03405465938617488,0.4666666666666667,0.4482758620689655,0.5833333333333334,0.0
gemini,3d,9,0.03759054414067869,0.031231971640918184,0.03297297296882167,0.026079022510296448,0.5,0.53125,0.4666666666666667,0.0
gemini,7d,1,0.10052101194318326,0.08152744913647879,0.07265768240196784,0.05929359063016463,0.5,0.5833333333333334,0.48333333333333334,0.0
gemini,7d,2,0.10834007072332127,0.07900181290449987,0.09324083731893384,0.06752109517239109,0.38333333333333336,0.3728813559322034,0.2833333333333333,0.0
gemini,7d,3,0.08126784739544811,0.065372814198889,0.049957301202261536,0.040283958089603014,0.38333333333333336,0.17777777777777778,0.4166666666666667,0.0
gemini,7d,4,0.05619072686470204,0.047646803868475356,0.054082881268763025,0.03966137020837991,0.5166666666666667,0.5671641791044776,0.6166666666666667,0.0
gemini,7d,5,0.07142600122339023,0.05794139556671731,0.05802074363680722,0.04573115956637592,0.5333333333333333,0.5882352941176471,0.25,0.0
gemini,7d,6,0.061627429783162595,0.05225753646278515,0.03891648277247503,0.03001503706256682,0.3,0.125,0.4,0.0
gemini,7d,7,0.03598676224613138,0.03009897715887505,0.033580091675743905,0.02722292160425135,0.5833333333333334,0.32432432432432434,0.5166666666666667,0.0
gemini,7d,8,0.08880114990347115,0.07821151082326001,0.06893257921536863,0.05966587902030831,0.3333333333333333,0.23076923076923078,0.6833333333333333,0.0
gemini,7d,9,0.039391173086173036,0.032114934897192464,0.03960844187763132,0.03191876104718154,0.5833333333333334,0.5283018867924528,0.43333333333333335,0.0
