strategy,horizon,start_date,end_date,n_periods,n_active_periods,coverage_pct,trade_count_proxy,avg_turnover,total_turnover,total_transaction_cost_paid,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,mean_daily_return,std_daily_return,hit_rate_active_periods,buy_hold_cumulative_return,buy_hold_annualized_return,buy_hold_annualized_volatility,buy_hold_sharpe_ratio,buy_hold_max_drawdown
lstm_long_only,1d,2024-07-24,2026-01-14,540,244,45.18518518518518,166,0.3074074074074074,166.0,0.166,0.07997424480204107,0.05337979140076787,0.3197581416425649,0.1669380211135871,-0.3251717306704097,0.0002816522041433947,0.016736906077870848,0.5409836065573771,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433
lstm_sign,1d,2024-07-24,2026-01-14,540,540,100.0,167,0.6166666666666667,333.0,0.333,-0.3141630838442889,-0.22500762114191208,0.45124979192473996,-0.4986320773294432,-0.5656710338143721,-0.00041848988731915855,0.023619493615726513,0.5277777777777778,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433
lstm_threshold_0.000,1d,2024-07-24,2026-01-14,540,540,100.0,167,0.6166666666666667,333.0,0.333,-0.3141630838442889,-0.22500762114191208,0.45124979192473996,-0.4986320773294432,-0.5656710338143721,-0.00041848988731915855,0.023619493615726513,0.5277777777777778,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433
lstm_threshold_0.002,1d,2024-07-24,2026-01-14,540,451,83.51851851851852,205,0.55,297.0,0.297,-0.3877963593181344,-0.28227608197126,0.4214426283292313,-0.6697853112066909,-0.5657347533623363,-0.0006641716781929617,0.022059315366681577,0.5188470066518847,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433
lstm_threshold_0.005,1d,2024-07-24,2026-01-14,540,359,66.48148148148148,223,0.5203703703703704,281.0,0.281,-0.4341241251572481,-0.31945345437196637,0.38970774331828695,-0.8197257043236588,-0.5399522668232399,-0.0008451224205729409,0.02039823556714379,0.5125348189415042,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433
buy_hold_aligned,1d,2024-07-24,2026-01-14,540,540,100.0,0,0.0,0.0,0.0,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433,0.0009799424437540968,0.023630293624433484,0.5092592592592593,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433
lstm_long_only,3d,2024-07-24,2026-01-14,540,251,46.48148148148148,110,0.2037037037037037,110.0,0.11000000000000001,-0.1584569873442131,-0.11006734876908919,0.5402711054567993,-0.2037261435183124,-0.6137599589480345,8.058253464468328e-05,0.028279082128034896,0.5139442231075697,1.9724783188476258,1.088301461290527,0.7678632507897841,1.4173115592798027,-0.6692170926661135
lstm_sign,3d,2024-07-24,2026-01-14,540,540,100.0,110,0.40555555555555556,219.0,0.21900000000000003,-0.847305822924173,-0.7192469705438059,0.7681812751022482,-0.9362984934097373,-0.9319991964179862,-0.0026588347894833677,0.040208445627437084,0.4703703703703704,1.9724783188476258,1.088301461290527,0.7678632507897841,1.4173115592798027,-0.6692170926661135
lstm_threshold_0.000,3d,2024-07-24,2026-01-14,540,540,100.0,110,0.40555555555555556,219.0,0.21900000000000003,-0.847305822924173,-0.7192469705438059,0.7681812751022482,-0.9362984934097373,-0.9319991964179862,-0.0026588347894833677,0.040208445627437084,0.4703703703703704,1.9724783188476258,1.088301461290527,0.7678632507897841,1.4173115592798027,-0.6692170926661135
lstm_threshold_0.002,3d,2024-07-24,2026-01-14,540,504,93.33333333333333,141,0.40925925925925927,221.0,0.22100000000000003,-0.8053485087340636,-0.6691806708500736,0.7465630621676541,-0.8963484864990509,-0.9132324863135757,-0.0022556676245248687,0.03907689664607551,0.47619047619047616,1.9724783188476258,1.088301461290527,0.7678632507897841,1.4173115592798027,-0.6692170926661135
lstm_threshold_0.005,3d,2024-07-24,2026-01-14,540,464,85.92592592592592,169,0.42407407407407405,229.0,0.22900000000000004,-0.8160429587628577,-0.6815782223788448,0.722253677765021,-0.943682591534813,-0.9031816805411208,-0.0024091131486623165,0.037804485312097555,0.47413793103448276,1.9724783188476258,1.088301461290527,0.7678632507897841,1.4173115592798027,-0.6692170926661135
buy_hold_aligned,3d,2024-07-24,2026-01-14,540,540,100.0,0,0.0,0.0,0.0,1.9724783188476258,1.088301461290527,0.7678632507897841,1.4173115592798027,-0.6692170926661135,0.002821851710624587,0.04019179947412618,0.5425925925925926,1.9724783188476258,1.088301461290527,0.7678632507897841,1.4173115592798027,-0.6692170926661135
lstm_long_only,7d,2024-07-24,2026-01-14,540,225,41.66666666666667,69,0.12777777777777777,69.0,0.069,0.1690931318694131,0.11137589226069555,0.7739981830248696,0.14389683942851955,-0.8765425744706762,0.0011027083259386552,0.04051291650365754,0.52,8.930287306451492,3.719242965419425,1.129530865124372,3.292732478815354,-0.9101152162900064
lstm_sign,7d,2024-07-24,2026-01-14,540,540,100.0,69,0.2537037037037037,137.0,0.137,-0.950671558494778,-0.869193102153407,1.1330649586809807,-0.7671167442732045,-0.992259743070674,-0.0037734711499321436,0.059307330522231735,0.4703703703703704,8.930287306451492,3.719242965419425,1.129530865124372,3.292732478815354,-0.9101152162900064
lstm_threshold_0.000,7d,2024-07-24,2026-01-14,540,540,100.0,69,0.2537037037037037,137.0,0.137,-0.950671558494778,-0.869193102153407,1.1330649586809807,-0.7671167442732045,-0.992259743070674,-0.0037734711499321436,0.059307330522231735,0.4703703703703704,8.930287306451492,3.719242965419425,1.129530865124372,3.292732478815354,-0.9101152162900064
lstm_threshold_0.002,7d,2024-07-24,2026-01-14,540,518,95.92592592592592,90,0.25925925925925924,140.0,0.14,-0.9507083424523691,-0.8692590412965939,1.0891878225353129,-0.7980800219315815,-0.9935312593735259,-0.0038946071704151174,0.05701069625089271,0.47104247104247104,8.930287306451492,3.719242965419425,1.129530865124372,3.292732478815354,-0.9101152162900064
lstm_threshold_0.005,7d,2024-07-24,2026-01-14,540,489,90.55555555555556,120,0.2814814814814815,152.0,0.15200000000000002,-0.9170559391042292,-0.8141429887705872,1.059197425171491,-0.7686413971774639,-0.9920221685115946,-0.003028409886176829,0.05544092710807162,0.4723926380368098,8.930287306451492,3.719242965419425,1.129530865124372,3.292732478815354,-0.9101152162900064
buy_hold_aligned,7d,2024-07-24,2026-01-14,540,540,100.0,0,0.0,0.0,0.0,8.930287306451492,3.719242965419425,1.129530865124372,3.292732478815354,-0.9101152162900064,0.0059807396536613044,0.05912234761101165,0.5462962962962963,8.930287306451492,3.719242965419425,1.129530865124372,3.292732478815354,-0.9101152162900064
